Experiments,Time,PC_OD,PJ_OD,BV_OD,BF_OD,BO_OD,BT_OD,BC_OD,BY_OD,BU_OD,DP_OD,BL_OD,BA_OD,BP_OD,CA_OD,EL_OD,FP_OD,CH_OD,AC_OD,BH_OD,CG_OD,ER_OD,RI_OD,CC_OD,DL_OD,DF_OD,Butyrate,Acetate,Lactate,Succinate
PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,0,0.000471429,0,0.000471429,0,0,0.000471429,0.000471429,0,0,0,0,0,0.000471429,0,0.000471429,0.000471429,0.000471429,0.000471429,0.000471429,0.000471429,0.000471429,0.000471429,0,0,0.000471429,0,0,28,0
PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,16,0.465116125,0,0.029206664,0,0,0.249716977,0.500650899,0,0,0,0,0,0.042593052,0,0.000973555,0.001216944,0.061090606,0.351453524,0.000973555,0.024338887,0.327601415,0.001460333,0,0,0.392829631,23.09269672,47.84930212,18.9108516,26.14188487
PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,32,0.104523272,0,0.027928176,0,0,0.220107208,0.380210315,0,0,0,0,0,0.02516301,0,0.002765166,0.00082955,0.121667301,0.700969562,0.001106066,0.020738744,0.293384105,0.00082955,0,0,0.280111308,23.99626736,38.91521816,17.97713735,26.88474829
PC-BV-BT-BC-BP-EL-FP-CH-AC-BH-CG-ER-RI-DF,48,0.124851958,0,0.012193996,0,0,0.268267909,0.333969887,0,0,0,0,0,0.013649995,0,0.001637999,0.001092,0.170897942,0.605695795,0.000546,0.023659992,0.188187936,0.002365999,0,0,0.224951924,24.8392188,34.32591404,19.40697135,31.6280605
BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,0,0,0,0.000388235,0.000388235,0.000388235,0.000388235,0,0,0.000388235,0.000388235,0.000388235,0.000388235,0.000388235,0,0.000388235,0.000388235,0.000388235,0.000388235,0.000388235,0.000388235,0.000388235,0.000388235,0,0,0,0,0,28,0
BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,16,0,0,0.007412968,0.179219395,0.19651632,0.171661075,0,0,0.059739798,0.004505922,0.016279458,0.189248704,0.203783935,0,0.002761694,0.000290705,0.078054189,0.071513335,0.000436057,0.016279458,0.341141865,0.001453523,0,0,0,15.42877712,48.66637932,38.993601,13.71602896
BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,32,0,0,0.005350555,0.136180253,0.178121699,0.17087256,0,0,0.049190586,0.005005358,0.016396862,0.104076923,0.206600459,0,0.003624569,0.000862993,0.106148106,0.27063452,0.000172599,0.01777765,0.229383467,0.001725985,0,0,0,15.86674792,48.0247582,42.64385516,13.20005168
BV-BF-BO-BT-BU-DP-BL-BA-BP-EL-FP-CH-AC-BH-CG-ER-RI,48,0,0,0.007370776,0.16925982,0.238277087,0.258513217,0,0,0.040606275,0.00227824,0.003350353,0.01661775,0.099706498,0,0.002546268,0.000268028,0.134148124,0.372559225,0.000536056,0.03390557,0.24457575,0.000804085,0,0,0,17.3248908,44.27463468,41.00652828,16.93067403
PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF,0,0,0.00044,0,0,0.00044,0.00044,0.00044,0.00044,0,0,0,0.00044,0,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0.00044,0,0,0.00044,0,0.00044,0,0,28,0
PJ-BO-BT-BC-BY-BA-CA-EL-FP-CH-AC-BH-CG-CC-DF,16,0,0.021199068,0,0,0.24871049,0.244735664,0.479818182,0.121705361,0,0,0,0.21388345,0,0.080064336,0.00075711,0.00075711,0.049779953,0.225240093,0.001135664,0.011356643,0,0,0.027255944,0,0.433634499,25.93951568,45.5942904,16.28175639,18.88419378
