Experiments,Time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,volume,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rf8,rf9,rf10,feed
Richness_5_0,0.0,0.010392725734897313,0.0,0.0,0.0,0.0,0.0,0.009889191974106907,0.0,0.0,0.00972606704623143,0.0,0.0098238442035761,0.0,0.0,0.0,0.0,0.010145714976410418,0.0,0.0,0.0,7.000000000000001,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_0,26.0,0.14722634807691884,0.0,0.0,0.0,0.0,0.0,0.097496108277026,0.0,0.0,0.0918266068388995,0.0,0.05418948779223113,0.0,0.0,0.0,0.0,0.08076451785119533,0.0,0.0,0.0,8.07996162580307,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_0,52.0,0.3040408555384619,0.0,0.0,0.0,0.0,0.0,0.19755542099224627,0.0,0.0,0.19678508234554387,0.0,0.08231058731649052,0.0,0.0,0.0,0.0,0.14048002529238163,0.0,0.0,0.0,8.919961625803069,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_0,78.0,0.2503344391514138,0.0,0.0,0.0,0.0,0.0,0.1938284645287748,0.0,0.0,0.19346031490690843,0.0,0.0749610929144568,0.0,0.0,0.0,0.0,0.13744310371717527,0.0,0.0,0.0,9.519961625803072,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_0,104.0,0.22122558350385946,0.0,0.0,0.0,0.0,0.0,0.14768549418655813,0.0,0.0,0.16665074012196396,0.0,0.059926728917865726,0.0,0.0,0.0,0.0,0.11657621745287938,0.0,0.0,0.0,9.879961625803071,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_0,130.0,0.1627932367376544,0.0,0.0,0.0,0.0,0.0,0.12230425810479102,0.0,0.0,0.1271022496181085,0.0,0.045083689310194734,0.0,0.0,0.0,0.0,0.0939750163798839,0.0,0.0,0.0,9.99996162580307,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_1,0.0,0.0,0.0,0.010660108341715008,0.009967103367614917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010069145665720933,0.010397802703622155,0.0,0.0,0.009729874825337641,0.0,0.0,7.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_1,26.0,0.0,0.0,0.11308541097071093,0.14756091453132011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06237075845905423,0.06020662118742293,0.0,0.0,0.08356068188876148,0.0,0.0,8.07996185766851,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_1,52.0,0.0,0.0,0.23843611553466568,0.24846070622023125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1146288803640898,0.1257545507946671,0.0,0.0,0.17286793697284944,0.0,0.0,8.919961857668508,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_1,78.0,0.0,0.0,0.24785427155661485,0.22400090969653172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1080449366928711,0.11844446404112897,0.0,0.0,0.17075234750189322,0.0,0.0,9.519961857668505,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_1,104.0,0.0,0.0,0.21318131282566477,0.16548784598891378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09456747879784375,0.09923633959162388,0.0,0.0,0.14785043423856384,0.0,0.0,9.879961857668507,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_1,130.0,0.0,0.0,0.15937053083329927,0.1289779502942115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08089370730293426,0.08203356412884272,0.0,0.0,0.1219477684437904,0.0,0.0,9.999961857668506,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_2,0.0,0.009448292798758695,0.01056829237027893,0.0,0.0,0.0,0.0,0.0,0.009828439390268747,0.0,0.009949908563079481,0.010915083366452343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_2,26.0,0.10907678390289118,0.11101954912498899,0.0,0.0,0.0,0.0,0.0,0.07958109267891034,0.0,0.09553820763360016,0.10379282805687061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07996162580307,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_2,52.0,0.17889882160568554,0.17385043203082004,0.0,0.0,0.0,0.0,0.0,0.15580342163509808,0.0,0.20613110908238386,0.1791658644153563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91996162580307,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_2,78.0,0.15340665039837229,0.14979353273845133,0.0,0.0,0.0,0.0,0.0,0.13493920527462186,0.0,0.24129733506818468,0.15491996866580873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.519961625803072,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_2,104.0,0.12844247181255186,0.12940373935124544,0.0,0.0,0.0,0.0,0.0,0.10540725416659362,0.0,0.2039619020164319,0.12468795703463925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.879961625803071,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_2,130.0,0.1052368775449986,0.09064517617040345,0.0,0.0,0.0,0.0,0.0,0.08498349870050804,0.0,0.17717619566070522,0.11458388626419141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999961625803072,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_3,0.0,0.0,0.0,0.00991893974195121,0.009213759269269265,0.0,0.0,0.0,0.0,0.0,0.010739735751493873,0.0,0.010883613789775632,0.0,0.0,0.0,0.0,0.0,0.0,0.010124668329377274,0.0,7.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_3,26.0,0.0,0.0,0.10911408112908537,0.1210346387046635,0.0,0.0,0.0,0.0,0.0,0.09006180008796306,0.0,0.05446755911618913,0.0,0.0,0.0,0.0,0.0,0.0,0.056360052110407795,0.0,8.079961857668511,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_3,52.0,0.0,0.0,0.28540102191636324,0.22995951903862874,0.0,0.0,0.0,0.0,0.0,0.14812898988680503,0.0,0.08055579216803047,0.0,0.0,0.0,0.0,0.0,0.0,0.09033652322388734,0.0,8.91996185766851,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_3,78.0,0.0,0.0,0.3387038320671217,0.20886932492832097,0.0,0.0,0.0,0.0,0.0,0.1344350885046305,0.0,0.07459229311255383,0.0,0.0,0.0,0.0,0.0,0.0,0.07675127611795066,0.0,9.519961857668509,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Richness_5_3,104.0,0.0,0.0,0.2875407626958768,0.16846533884031187,0.0,0.0,0.0,0.0,0.0,0.11503801810886467,0.0,0.07217975602222591,0.0,0.0,0.0,0.0,0.0,0.0,0.056806462595763246,0.0,9.87996185766851,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
