Experiments,Time,PC_OD,PC_OD pred,PJ_OD,PJ_OD pred,BV_OD,BV_OD pred,BF_OD,BF_OD pred,BO_OD,BO_OD pred,BT_OD,BT_OD pred,BC_OD,BC_OD pred,BY_OD,BY_OD pred,BU_OD,BU_OD pred,DP_OD,DP_OD pred,BL_OD,BL_OD pred,BA_OD,BA_OD pred,BP_OD,BP_OD pred,CA_OD,CA_OD pred,EL_OD,EL_OD pred,FP_OD,FP_OD pred,CH_OD,CH_OD pred,AC_OD,AC_OD pred,BH_OD,BH_OD pred,CG_OD,CG_OD pred,ER_OD,ER_OD pred,RI_OD,RI_OD pred,CC_OD,CC_OD pred,DL_OD,DL_OD pred,DF_OD,DF_OD pred,Butyrate,Butyrate pred,Acetate,Acetate pred,Lactate,Lactate pred,Succinate,Succinate pred
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,0,0.0,7.029987865708048e-12,0.0,0.0,0.0,2.3259300301753383e-12,0.0,1.2879974322331511e-12,0.0,0.0,0.0,0.0,0.0006,0.0005999999932505059,0.0,0.0,0.0006,0.0006000000061573413,0.0006,0.0006000000115479379,0.0,0.0,0.0006,0.0005999999947054988,0.0006,0.0005999999870828256,0.0006,0.0006000000044308556,0.0,0.0,0.0006,0.0006000000013271578,0.0,0.0,0.0,9.320513870252067e-12,0.0,0.0,0.0006,0.0006000000070449391,0.0,0.0,0.0006,0.0006000000086272365,0.0006,0.0006000000042277397,0.0,0.0,0.0006,0.0005999999852960595,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,16,0.0,0.0,0.0,0.00349974276405882,0.0,0.0,0.0,0.04627463367852985,0.0,0.0,0.0,0.0,0.556296655,0.5661127726602725,0.0,0.061856435683607644,0.087174503,0.12765126221100742,0.007375374,0.007660545683713037,0.0,0.0,0.342048085,0.27068049719501586,0.114499659,0.2030243531221188,0.019103428,0.03803470603461889,0.0,0.001502220528147912,0.000725447,0.0011706940287754205,0.0,0.007679745275669295,0.0,0.017508236201344396,0.0,0.00029020088704988695,0.034216899,0.04344325211651033,0.0,0.0004481484605738384,0.002780879,0.003495972282375831,0.02115886,0.031347808020423085,0.0,0.0,0.173865375,0.2260752665802342,1.200972,8.219179094422321,56.57878976,44.8758255865563,50.41196817,42.862552154019184,8.68255116,7.377619664517592
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,32,0.0,0.0,0.0,0.0031308091232811596,0.0,0.003420182661901104,0.0,0.059840709019628874,0.0,0.0,0.0,0.0,0.611492976,0.4565210251947831,0.0,0.040713230882175114,0.068535121,0.10215182028216559,0.008151022,0.007121840484264183,0.0,0.0,0.140230843,0.12590271841000794,0.285951149,0.1821165415378068,0.019129949,0.04938524807807336,0.0,0.0009772756706036669,0.00066539,0.0016093417470722424,0.0,0.023163390248796684,0.0,0.10578620570022385,0.0,0.00010462482060911537,0.049238825,0.03738375304369808,0.0,0.0,0.002994253,0.002272436987996537,0.023954023,0.025372197888608124,0.0,0.0015344819849131275,0.177991699,0.22412589292245166,1.59898552,8.118145823944756,61.22271804,50.06455479137505,53.18028484,49.34626042501217,8.81368684,7.653394096383021
BC-BU-DP-BA-BP-CA-FP-CG-RI-CC-DF,48,0.0,0.0,0.0,0.0015641880509872034,0.0,0.004666946872765201,0.0,0.0791310183716199,0.0,0.0,0.0,0.0,0.899807605,0.43940281617745175,0.0,0.03135718066205604,0.054458603,0.09834373577858377,0.003787289,0.005094011239717505,0.0,0.0,0.04466389,0.0748863479381032,0.097685934,0.12293888795043058,0.003526097,0.044622536778029825,0.0,0.0,0.000652981,0.0014020566816996963,0.0,0.04364569255285522,0.0,0.11531653758262081,0.0,0.00011099516955606007,0.08149201,0.05977540509935583,0.0,0.0,0.000783577,0.0017295671831991754,0.036436331,0.021094206268434803,0.0,0.0032666061992841916,0.312777825,0.2305145801222609,1.55357368,7.707370186757611,60.35181256,49.92465037696011,55.17342669,51.561386530509495,11.23214938,9.426545987010256
BF-BO-BC-BY-BU-DP-BA-BP-FP-CH-AC-BH-ER-RI-CC-DL-DF,0,0.0,7.029987865708048e-12,0.0,0.0,0.0,2.3259300301753383e-12,0.000388235,0.0003882350025510038,0.000388235,0.0003882349986460195,0.0,0.0,0.000388235,0.0003882350026197167,0.000388235,0.000388235004229092,0.000388235,0.0003882349987233728,0.000388235,0.00038823499511896146,0.0,0.0,0.000388235,0.00038823499883148133,0.000388235,0.00038823500158021216,0.0,1.8483887380751907e-12,0.0,0.0,0.000388235,0.00038823500026458427,0.000388235,0.0003882350005941822,0.000388235,0.00038823499875338587,0.000388235,0.00038823499968611833,0.0,1.0925992749433178e-11,0.000388235,0.0003882350017018897,0.000388235,0.00038823499894719395,0.000388235,0.00038823499314558573,0.000388235,0.0003882350034168363,0.000388235,0.0003882350001987618,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
BF-BO-BC-BY-BU-DP-BA-BP-FP-CH-AC-BH-ER-RI-CC-DL-DF,16,0.0,0.0,0.0,0.0,0.0,0.0,0.181957791,0.16938663179983726,0.142948135,0.13517108794987093,0.0,0.0,0.305270194,0.2870824989037446,0.084957271,0.11629384723740475,0.056420006,0.06606514556741089,0.006414339,0.00420454404474975,0.0,0.0,0.099487713,0.11829404059704388,0.078281122,0.10114363083446927,0.0,0.0,0.0,0.0,0.001178144,0.0008007909220065163,0.036522463,0.03154112595668772,0.024217404,0.10240774636590588,0.000392715,0.0001330559623673079,0.0,0.0020307886567861554,0.245839376,0.2249769858609693,0.001047239,0.0018191166837098617,0.007068864,0.015210571907982718,0.122526973,0.2311306697929691,0.113494536,0.12578680444822307,18.43948984,17.02481422770235,47.82123356,44.69576643188565,33.29885859,33.76323883951775,11.57292722,10.951785477438245
BF-BO-BC-BY-BU-DP-BA-BP-FP-CH-AC-BH-ER-RI-CC-DL-DF,32,0.0,0.0,0.0,0.0,0.0,0.0,0.146911524,0.138330916347692,0.118385014,0.12775794991807857,0.0,0.0,0.23291895,0.22917252265938506,0.065896237,0.09730042502451937,0.035943402,0.04489681263277759,0.002710018,0.0030327692326425643,0.0,0.00024204622605493616,0.039366583,0.03954515391978013,0.093994849,0.09729129914330734,0.0,0.0,0.0,0.0,0.002139488,0.0008366531001988128,0.050491922,0.03719797136899013,0.194693427,0.32811838980668595,0.00057053,8.042992551271012e-05,0.0,0.005097634686350792,0.175438033,0.16245617802975298,0.000142633,0.0012968793533128708,0.004564242,0.013364080782752408,0.171159057,0.19735319606122564,0.084866366,0.1335847221448105,19.00495368,18.518705004402516,51.6038936,46.02251335163517,37.45366162,36.88114261085063,13.58038059,11.967771610647143
BF-BO-BC-BY-BU-DP-BA-BP-FP-CH-AC-BH-ER-RI-CC-DL-DF,48,0.0,0.0,0.0,0.0,0.0,0.0,0.12332411,0.16091809256310802,0.115932876,0.16206713286032887,0.0,0.0,0.193267084,0.21038662960731852,0.072406719,0.0988076186343996,0.026553693,0.022733183813068148,0.002053121,0.0015728696607857197,0.0,4.9924830130271616e-05,0.009718104,0.010410397678026083,0.026006194,0.06662072607166021,0.0,0.0,0.0,0.0,0.000273749,0.0005456502867537095,0.078018582,0.04251177603729199,0.363812967,0.38315211679068734,0.000136875,8.820709538329813e-05,0.0,0.0056514063674736464,0.143855315,0.13363113787254746,0.001094998,0.0010595997230805673,0.00465374,0.010806697710372053,0.104572275,0.15319838707731853,0.089516057,0.13911427510584662,19.23476936,19.29746768853677,46.16162676,44.18759567971425,36.94247556,38.08226069739472,14.64552623,13.674661463788382
BF-BU-BL-BA-EL-FP-CH-BH-CG-RI-DL,0,0.0,7.029987865708048e-12,0.0,0.0,0.0,2.3259300301753383e-12,0.0006,0.0006000000074940944,0.0,0.0,0.0,0.0,0.0,5.4908600452888146e-12,0.0,0.0,0.0006,0.0006000000061573413,0.0,4.903651269760889e-12,0.0006,0.0006000000035386128,0.0006,0.0005999999947054988,0.0,2.91335941374031e-12,0.0,1.8483887380751907e-12,0.0006,0.0005999999921161419,0.0006,0.0006000000013271578,0.0006,0.000599999995938387,0.0,9.320513870252067e-12,0.0006,0.0006000000053826618,0.0006,0.0006000000070449391,0.0,0.0,0.0006,0.0006000000086272365,0.0,5.4741422983103916e-12,0.0006,0.0006000000057999969,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0
BF-BU-BL-BA-EL-FP-CH-BH-CG-RI-DL,16,0.0,0.02674592547745669,0.0,0.0006567105513502966,0.0,0.01122744111160388,0.492494533,0.3218582140883447,0.0,0.11345263711575164,0.0,0.0,0.0,0.04030454646762724,0.0,0.03179430806604513,0.129270581,0.13663683724376563,0.0,0.0028372936995220586,0.01867828,0.022977536121491775,0.269410444,0.24780944548878336,0.0,0.009278159841625909,0.0,0.0,0.00105527,0.0005857407590554426,0.000738689,0.002109599894920025,0.086848725,0.08579589920122543,0.0,0.0,0.000844216,0.0014105326722520543,0.02395463,0.04072633400174248,0.0,0.07554971851837722,0.001793959,0.0037017411664533604,0.0,0.0,0.370399788,0.4848948502331175,0.0,0.0,0.73895208,2.606139815599505,61.07631552,61.419321965060234,46.44864195,43.522368153893865,8.97862434,10.28926326692567
