Experiments,Time,PC_OD true,PC_OD pred,PC_OD stdv,PJ_OD true,PJ_OD pred,PJ_OD stdv,BV_OD true,BV_OD pred,BV_OD stdv,BF_OD true,BF_OD pred,BF_OD stdv,BO_OD true,BO_OD pred,BO_OD stdv,BT_OD true,BT_OD pred,BT_OD stdv,BC_OD true,BC_OD pred,BC_OD stdv,BY_OD true,BY_OD pred,BY_OD stdv,BU_OD true,BU_OD pred,BU_OD stdv,DP_OD true,DP_OD pred,DP_OD stdv,BL_OD true,BL_OD pred,BL_OD stdv,BA_OD true,BA_OD pred,BA_OD stdv,BP_OD true,BP_OD pred,BP_OD stdv,CA_OD true,CA_OD pred,CA_OD stdv,EL_OD true,EL_OD pred,EL_OD stdv,FP_OD true,FP_OD pred,FP_OD stdv,CH_OD true,CH_OD pred,CH_OD stdv,AC_OD true,AC_OD pred,AC_OD stdv,BH_OD true,BH_OD pred,BH_OD stdv,CG_OD true,CG_OD pred,CG_OD stdv,ER_OD true,ER_OD pred,ER_OD stdv,RI_OD true,RI_OD pred,RI_OD stdv,CC_OD true,CC_OD pred,CC_OD stdv,DL_OD true,DL_OD pred,DL_OD stdv,DF_OD true,DF_OD pred,DF_OD stdv,Butyrate true,Butyrate pred,Butyrate stdv,Acetate true,Acetate pred,Acetate stdv,Lactate true,Lactate pred,Lactate stdv,Succinate true,Succinate pred,Succinate stdv
BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,0.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.0,0.0,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.0006,0.0006,0.076238774,0.0,0.0,0.02756812,0.0006,0.0006,0.03607024,0.0,0.0,0.004265186,0.0006,0.0006,0.012688881,0.0,0.0,0.08700359,0.0,0.0,0.04659629,0.0006,0.0006,0.08143005,0.0006,0.0006,0.0062888097,0.0006,0.0006,0.0022908028,0.0,0.0,0.12838487,0.0006,0.0006,0.17557074,0.0,0.0,0.0021481249,0.0,0.0,0.010701699,0.0006,0.0006,0.13179632,0.0006,0.0006,0.0022638529,0.0006,0.0006,0.0123520745,0.0006,0.0006,0.12785974,0.0,0.0,0.17108297,0.0,0.0,16.606016,0.0,0.0,28.137215,28.0,28.0,13.685387,0.0,0.0,12.5065975
BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,16.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.0,0.0,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.341841121,0.41153294,0.077136554,0.0,0.0,0.02756812,0.072999529,0.07233673,0.036171664,0.0,0.0,0.004265186,0.008330701,0.013063864,0.012756687,0.0,0.0,0.08700359,0.0,0.0,0.04659629,0.032475612,0.030274244,0.08148458,0.002117975,0.0015687067,0.0062908866,0.000423595,0.0007392908,0.0022910775,0.0,0.0,0.12838487,0.120865758,0.13864699,0.17576812,0.0,0.0,0.0021481249,0.0,0.0,0.010701699,0.497159267,0.1296635,0.13212906,0.00084719,0.0010392254,0.0022656652,0.016379005,0.024728881,0.012434376,0.603763995,0.23384571,0.1285517,0.0,0.0,0.17108297,37.06220448,5.298096,16.60869,31.8131948,7.497582,28.141798,14.47690446,30.28553,13.689683,6.76492558,3.074292,12.507919
BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,32.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.0,0.0,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.223361386,0.4276104,0.07718595,0.0,0.0,0.02756812,0.067694509,0.07786844,0.036192033,0.0,0.0,0.004265186,0.009300372,0.013952706,0.012768991,0.0,0.0,0.08700359,0.0,0.0,0.04659629,0.088277299,0.0425024,0.081526294,0.011129953,0.0025260355,0.0062946556,0.001372186,0.0008765157,0.0022915998,0.0,0.0,0.12838487,0.580129743,0.30644363,0.17618962,0.0,0.0,0.0021481249,0.0,0.0,0.010701699,0.246841013,0.16483714,0.13233992,0.001372186,0.0013069751,0.0022676347,0.012197209,0.027309414,0.012454557,0.207047619,0.26454106,0.12881145,0.0,0.0,0.17108297,44.18220984,18.294327,16.62041,29.59939548,19.47557,28.1542,6.48711895,29.338324,13.708427,8.74292394,9.237563,12.5112915
BC-BU-BL-CA-EL-FP-AC-ER-RI-CC-DL,48.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.0,0.0,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.184252297,0.43543392,0.07816892,0.0,0.0,0.02756812,0.026445624,0.08309444,0.036216754,0.0,0.0,0.004265186,0.008020394,0.01495637,0.012785164,0.0,0.0,0.08700359,0.0,0.0,0.04659629,0.082154848,0.0823602,0.08188441,0.021459973,0.0047293915,0.0063218265,0.001083837,0.0011859873,0.0022960515,0.0,0.0,0.12838487,0.552865276,0.639925,0.17797308,0.0,0.0,0.0021481249,0.0,0.0,0.010701699,0.278654504,0.21067327,0.13275628,0.000433535,0.0017630229,0.0022753724,0.01755816,0.03087207,0.012498968,0.297079734,0.3038697,0.12924041,0.0,0.0,0.17108297,49.125764,40.841278,16.683926,25.67435172,29.616814,28.177965,3.18149782,22.438345,13.731994,7.94510523,17.557919,12.522604
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,0.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.0,0.0,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.0006,0.0006,0.076238774,0.0,0.0,0.02756812,0.0006,0.0006,0.03607024,0.0006,0.0006,0.004265186,0.0006,0.0006,0.012688881,0.0,0.0,0.08700359,0.0006,0.0006,0.04659629,0.0006,0.0006,0.08143005,0.0006,0.0006,0.0062888097,0.0006,0.0006,0.0022908028,0.0,0.0,0.12838487,0.0,0.0,0.17557074,0.0006,0.0006,0.0021481249,0.0,0.0,0.010701699,0.0,0.0,0.13179632,0.0,0.0,0.0022638529,0.0,0.0,0.0123520745,0.0006,0.0006,0.12785974,0.0006,0.0006,0.17108297,0.0,0.0,16.606016,0.0,0.0,28.137215,28.0,28.0,13.685387,0.0,0.0,12.5065975
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,16.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.0,0.0,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.743964354,0.46294674,0.07725003,0.0,0.0,0.02756812,0.15587983,0.07750601,0.03619419,0.011977959,0.0065645445,0.00429759,0.010480714,0.01365997,0.012765484,0.0,0.0,0.08700359,0.209115204,0.110802256,0.04719381,0.030277619,0.031643648,0.08149197,0.001330884,0.0016132463,0.006291055,0.000332721,0.0007406213,0.002291089,0.0,0.0,0.12838487,0.0,0.0,0.17557074,0.001497245,0.0008420497,0.0021485267,0.0,0.0,0.010701699,0.0,0.0,0.13179632,0.0,0.0,0.0022638529,0.0,0.0,0.0123520745,0.306768844,0.25467247,0.12864552,0.154881667,0.093544185,0.17120743,0.30539048,2.6641798,16.607132,61.39043596,10.465624,28.14463,54.17905765,36.02418,13.6948595,11.98589679,2.1851492,12.507441
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,32.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.0,0.0,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.775864642,0.55955905,0.07768319,0.0,0.0,0.02756812,0.125267634,0.0844528,0.036223114,0.008155989,0.0069174133,0.0043024477,0.032623958,0.014731186,0.012781734,0.0,0.0,0.08700359,0.27960405,0.12210769,0.047351517,0.035342621,0.04091426,0.08152664,0.004391687,0.0028920164,0.006297075,0.000209128,0.0008705549,0.002291592,0.0,0.0,0.12838487,0.0,0.0,0.17557074,0.00104564,0.0010835379,0.0021495868,0.0,0.0,0.010701699,0.0,0.0,0.13179632,0.0,0.0,0.0022638529,0.0,0.0,0.0123520745,0.339205512,0.29141,0.12898074,0.227112938,0.13776064,0.17135027,0.72099992,7.325903,16.611069,52.58407892,28.586294,28.16167,55.56850088,46.671864,13.720366,11.82875188,6.11186,12.509704
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,48.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.0,0.0,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.949757822,0.78209746,0.082018584,0.0,0.0,0.02756812,0.104214934,0.091792785,0.036263797,0.007600765,0.0073244995,0.0043087485,0.014357001,0.016010994,0.012805053,0.0,0.0,0.08700359,0.163669808,0.13456392,0.047565293,0.012836848,0.060746364,0.0816581,0.002533588,0.006621441,0.0063610314,0.000168906,0.0011242265,0.0022942151,0.0,0.0,0.12838487,0.0,0.0,0.17557074,0.001182341,0.0015618469,0.0021562995,0.0,0.0,0.010701699,0.0,0.0,0.13179632,0.0,0.0,0.0022638529,0.0,0.0,0.0123520745,0.292882814,0.33865085,0.12956229,0.260115071,0.24111706,0.17203844,1.76906968,12.231147,16.619406,55.35610532,47.83528,28.203152,59.45763081,53.67912,13.761615,13.98110143,10.70685,12.515642
BF-BC-BY-BA-CA-EL-FP-CH-AC-BH-ER-CC-DL-DF,0.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.000471429,0.000471429,0.09352069,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.000471429,0.000471429,0.076238774,0.000471429,0.000471429,0.02756812,0.0,0.0,0.03607024,0.0,0.0,0.004265186,0.0,0.0,0.012688881,0.000471429,0.000471429,0.08700359,0.0,0.0,0.04659629,0.000471429,0.000471429,0.08143005,0.000471429,0.000471429,0.0062888097,0.000471429,0.000471429,0.0022908028,0.000471429,0.000471429,0.12838487,0.000471429,0.000471429,0.17557074,0.000471429,0.000471429,0.0021481249,0.0,0.0,0.010701699,0.000471429,0.000471429,0.13179632,0.0,0.0,0.0022638529,0.000471429,0.000471429,0.0123520745,0.000471429,0.000471429,0.12785974,0.000471429,0.000471429,0.17108297,0.0,0.0,16.606016,0.0,0.0,28.137215,28.0,28.0,13.685387,0.0,0.0,12.5065975
BF-BC-BY-BA-CA-EL-FP-CH-AC-BH-ER-CC-DL-DF,16.0,0.0,0.0,0.24689323,0.0,0.0,0.0071454714,0.0,0.0,0.025120853,0.158661918,0.13872209,0.09365218,0.0,0.0,0.12027339,0.0,0.0,0.09155574,0.338587804,0.26981002,0.07666908,0.118791977,0.10035309,0.027679509,0.0,0.0,0.03607024,0.0,0.0,0.004265186,0.0,0.0,0.012688881,0.091598633,0.0646546,0.087161645,0.0,0.0,0.04659629,0.017174744,0.02132353,0.081455514,0.000408922,0.0012143693,0.0062899836,0.000204461,0.00057870784,0.002290963,0.035576255,0.04480561,0.12844022,0.12431243,0.0954521,0.17565833,0.000613384,0.0006524073,0.0021483456,0.0,0.0,0.010701699,0.346152869,0.08827425,0.13194114,0.0,0.0,0.0022638529,0.006951682,0.017550563,0.012391001,0.551023026,0.1561224,0.12817375,0.103048462,0.059916764,0.1711289,25.63802568,4.077236,16.607445,59.685464,10.7967415,28.143526,22.14417596,29.709715,13.687759,13.593172200000001,3.1600213,12.507741
