Experiments,Time,PC_OD true,PC_OD pred,PC_OD stdv,PJ_OD true,PJ_OD pred,PJ_OD stdv,BV_OD true,BV_OD pred,BV_OD stdv,BF_OD true,BF_OD pred,BF_OD stdv,BO_OD true,BO_OD pred,BO_OD stdv,BT_OD true,BT_OD pred,BT_OD stdv,BC_OD true,BC_OD pred,BC_OD stdv,BY_OD true,BY_OD pred,BY_OD stdv,BU_OD true,BU_OD pred,BU_OD stdv,DP_OD true,DP_OD pred,DP_OD stdv,BL_OD true,BL_OD pred,BL_OD stdv,BA_OD true,BA_OD pred,BA_OD stdv,BP_OD true,BP_OD pred,BP_OD stdv,CA_OD true,CA_OD pred,CA_OD stdv,EL_OD true,EL_OD pred,EL_OD stdv,FP_OD true,FP_OD pred,FP_OD stdv,CH_OD true,CH_OD pred,CH_OD stdv,AC_OD true,AC_OD pred,AC_OD stdv,BH_OD true,BH_OD pred,BH_OD stdv,CG_OD true,CG_OD pred,CG_OD stdv,ER_OD true,ER_OD pred,ER_OD stdv,RI_OD true,RI_OD pred,RI_OD stdv,CC_OD true,CC_OD pred,CC_OD stdv,DL_OD true,DL_OD pred,DL_OD stdv,DF_OD true,DF_OD pred,DF_OD stdv,Butyrate true,Butyrate pred,Butyrate stdv,Acetate true,Acetate pred,Acetate stdv,Lactate true,Lactate pred,Lactate stdv,Succinate true,Succinate pred,Succinate stdv
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,0.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.0,0.0,0.020289598,0.0,0.0,0.07275678,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.0006,0.0006,0.11913958,0.0,0.0,0.044135183,0.0006,0.0006,0.04436986,0.0006,0.0006,0.0034128292,0.0006,0.0006,0.0118461605,0.0,0.0,0.07328826,0.0006,0.0006,0.07530851,0.0006,0.0006,0.0773941,0.0006,0.0006,0.011007044,0.0006,0.0006,0.0019803648,0.0,0.0,0.0819183,0.0,0.0,0.16469091,0.0006,0.0006,0.0013282362,0.0,0.0,0.014615074,0.0,0.0,0.11425621,0.0,0.0,0.0015906187,0.0,0.0,0.011491653,0.0006,0.0006,0.14087501,0.0006,0.0006,0.13109525,0.0,0.0,16.06861,0.0,0.0,23.641335,28.0,28.0,13.68078,0.0,0.0,9.129548
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,16.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.0,0.0,0.020289598,0.0,0.0,0.07275678,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.743964354,0.38647503,0.119548224,0.0,0.0,0.044135183,0.15587983,0.07787158,0.044440933,0.011977959,0.0073446566,0.0034255553,0.010480714,0.017521277,0.011888071,0.0,0.0,0.07328826,0.209115204,0.112930745,0.075580955,0.030277619,0.029548997,0.077446245,0.001330884,0.0019077541,0.011010219,0.000332721,0.000826238,0.0019806304,0.0,0.0,0.0819183,0.0,0.0,0.16469091,0.001497245,0.00077484717,0.0013284205,0.0,0.0,0.014615074,0.0,0.0,0.11425621,0.0,0.0,0.0015906187,0.0,0.0,0.011491653,0.306768844,0.28450233,0.14129476,0.154881667,0.14992939,0.13127005,0.30539048,5.197688,16.07019,61.39043596,18.792528,23.650522,54.17905765,37.211304,13.688444,11.985896789999998,3.4148905,9.130805
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,32.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.0,0.0,0.020289598,0.0,0.0,0.07275678,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.775864642,0.48071903,0.11986528,0.0,0.0,0.044135183,0.125267634,0.0798047,0.044444658,0.008155989,0.0074362173,0.0034259523,0.032623958,0.01792609,0.01189013,0.0,0.0,0.07328826,0.27960405,0.11637866,0.07559967,0.035342621,0.045187972,0.077487566,0.004391687,0.003634127,0.011015765,0.000209128,0.001139445,0.0019815618,0.0,0.0,0.0819183,0.0,0.0,0.16469091,0.00104564,0.0010017869,0.001329094,0.0,0.0,0.014615074,0.0,0.0,0.11425621,0.0,0.0,0.0015906187,0.0,0.0,0.011491653,0.339205512,0.30503112,0.14142947,0.227112938,0.20083423,0.1313618,0.72099992,10.907862,16.074879,52.58407892,38.958588,23.67433,55.56850088,44.38324,13.70736,11.82875188,6.97937,9.134076
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF,48.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.0,0.0,0.020289598,0.0,0.0,0.07275678,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.949757822,0.6654835,0.12203566,0.0,0.0,0.044135183,0.104214934,0.08206849,0.04445161,0.007600765,0.007544271,0.0034264652,0.014357001,0.018431973,0.01189332,0.0,0.0,0.07328826,0.163669808,0.12050991,0.075629994,0.012836848,0.07828313,0.07773949,0.002533588,0.008902561,0.011053517,0.000168906,0.0017643049,0.0019884503,0.0,0.0,0.0819183,0.0,0.0,0.16469091,0.001182341,0.0014074292,0.0013332595,0.0,0.0,0.014615074,0.0,0.0,0.11425621,0.0,0.0,0.0015906187,0.0,0.0,0.011491653,0.292882814,0.34253952,0.14206707,0.260115071,0.3128628,0.13187478,1.76906968,16.687138,16.084223,55.35610532,58.97294,23.721312,59.45763081,48.17936,13.733519,13.98110143,10.7242155,9.140787
BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,0.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.0006,0.0006,0.020289598,0.0006,0.0006,0.07275678,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.0,0.0,0.11913958,0.0,0.0,0.044135183,0.0,0.0,0.04436986,0.0,0.0,0.0034128292,0.0006,0.0006,0.0118461605,0.0,0.0,0.07328826,0.0,0.0,0.07530851,0.0006,0.0006,0.0773941,0.0,0.0,0.011007044,0.0006,0.0006,0.0019803648,0.0006,0.0006,0.0819183,0.0006,0.0006,0.16469091,0.0006,0.0006,0.0013282362,0.0,0.0,0.014615074,0.0006,0.0006,0.11425621,0.0006,0.0006,0.0015906187,0.0,0.0,0.011491653,0.0,0.0,0.14087501,0.0006,0.0006,0.13109525,0.0,0.0,16.06861,0.0,0.0,23.641335,28.0,28.0,13.68078,0.0,0.0,9.129548
BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,16.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.088653422,0.042776134,0.020426527,0.430435692,0.362309,0.07338784,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.0,0.0,0.11913958,0.0,0.0,0.044135183,0.0,0.0,0.04436986,0.0,0.0,0.0034128292,0.018897177,0.021380616,0.011915236,0.0,0.0,0.07328826,0.0,0.0,0.07530851,0.199703497,0.035813306,0.07748366,0.0,0.0,0.011007044,0.006532357,0.0008144201,0.0019806325,0.30958708,0.11044646,0.08211336,0.595611014,0.18402134,0.1649519,0.002332985,0.00076883537,0.0013284166,0.0,0.0,0.014615074,0.600043685,0.18723848,0.114684045,0.008632044,0.002552546,0.0015977034,0.0,0.0,0.011491653,0.0,0.0,0.14087501,0.414571395,0.20771803,0.1314241,31.85940104,7.749889,16.071909,32.35661536,15.500621,23.649952,7.68118245,25.082808,13.685746,18.07217348,9.047918,9.13485
BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,32.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.011252305,0.043608528,0.020434687,0.252373129,0.36368707,0.07346993,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.0,0.0,0.11913958,0.0,0.0,0.044135183,0.0,0.0,0.04436986,0.0,0.0,0.0034128292,0.006697801,0.02191918,0.011919013,0.0,0.0,0.07328826,0.0,0.0,0.07530851,0.131544805,0.051990382,0.07753629,0.0,0.0,0.011007044,0.005358241,0.001041772,0.0019811522,0.721487087,0.15887462,0.08223337,0.662010617,0.32622674,0.16512275,0.001607472,0.00095046376,0.0013288361,0.0,0.0,0.014615074,0.191289187,0.23313372,0.114868924,0.00133956,0.002616513,0.0015980374,0.0,0.0,0.011491653,0.0,0.0,0.14087501,0.249426097,0.28606853,0.13161068,34.5199824,19.229462,16.08305,39.41342328,29.29664,23.66758,1.02817301,19.99962,13.692546,24.089994509999997,18.772018,9.147297
BV-BF-BL-CA-FP-CH-AC-BH-ER-RI-DF,48.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.01200963,0.04448525,0.020444406,0.261209455,0.38640872,0.07434477,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.0,0.0,0.11913958,0.0,0.0,0.044135183,0.0,0.0,0.04436986,0.0,0.0,0.0034128292,0.00331845,0.022574529,0.011925054,0.0,0.0,0.07328826,0.0,0.0,0.07530851,0.173191508,0.086505674,0.077785596,0.0,0.0,0.011007044,0.002844386,0.0014203899,0.0019842205,0.451783322,0.23910749,0.082654394,0.493026921,0.5336797,0.16562219,0.000790107,0.0012392608,0.0013312931,0.0,0.0,0.014615074,0.136056467,0.29071462,0.1152468,0.000790107,0.002706331,0.0015987206,0.0,0.0,0.011491653,0.0,0.0,0.14087501,0.390312979,0.46750587,0.13287212,34.3107644,34.491283,16.110228,41.68957704,40.168247,23.691742,8.1419459,14.392639,13.692342,28.10430182,27.861622,9.169744
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,0.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.0006,0.0006,0.020289598,0.0006,0.0006,0.07275678,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.0,0.0,0.11913958,0.0006,0.0006,0.044135183,0.0006,0.0006,0.04436986,0.0006,0.0006,0.0034128292,0.0006,0.0006,0.0118461605,0.0,0.0,0.07328826,0.0,0.0,0.07530851,0.0006,0.0006,0.0773941,0.0006,0.0006,0.011007044,0.0,0.0,0.0019803648,0.0006,0.0006,0.0819183,0.0,0.0,0.16469091,0.0006,0.0006,0.0013282362,0.0,0.0,0.014615074,0.0006,0.0006,0.11425621,0.0,0.0,0.0015906187,0.0,0.0,0.011491653,0.0,0.0,0.14087501,0.0,0.0,0.13109525,0.0,0.0,16.06861,0.0,0.0,23.641335,28.0,28.0,13.68078,0.0,0.0,9.129548
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,16.0,0.0,0.0,0.23604557,0.0,0.0,0.006878205,0.033567868,0.041204836,0.020413822,0.250080614,0.34722793,0.07330625,0.0,0.0,0.099441916,0.0,0.0,0.08910652,0.0,0.0,0.11913958,0.1599638,0.21733914,0.044646826,0.158027192,0.09912653,0.044484284,0.028145366,0.008317689,0.0034303775,0.056548946,0.02073252,0.011909572,0.0,0.0,0.07328826,0.0,0.0,0.07530851,0.186947201,0.035056874,0.07747688,0.005422502,0.0019938166,0.011010839,0.0,0.0,0.0019803648,0.094377351,0.10956301,0.08210064,0.0,0.0,0.16469091,0.001291072,0.00078064675,0.0013284271,0.0,0.0,0.014615074,0.540571777,0.18189767,0.11464963,0.0,0.0,0.0015906187,0.0,0.0,0.011491653,0.0,0.0,0.14087501,0.0,0.0,0.13109525,6.36688416,4.614311,16.070461,42.629724079999995,15.867237,23.650162,36.61382892,32.261814,13.687882,18.47539383,10.447366,9.135298
