Experiments,Time,PC_OD true,PC_OD pred,PC_OD stdv,PJ_OD true,PJ_OD pred,PJ_OD stdv,BV_OD true,BV_OD pred,BV_OD stdv,BF_OD true,BF_OD pred,BF_OD stdv,BO_OD true,BO_OD pred,BO_OD stdv,BT_OD true,BT_OD pred,BT_OD stdv,BC_OD true,BC_OD pred,BC_OD stdv,BY_OD true,BY_OD pred,BY_OD stdv,BU_OD true,BU_OD pred,BU_OD stdv,DP_OD true,DP_OD pred,DP_OD stdv,BL_OD true,BL_OD pred,BL_OD stdv,BA_OD true,BA_OD pred,BA_OD stdv,BP_OD true,BP_OD pred,BP_OD stdv,CA_OD true,CA_OD pred,CA_OD stdv,EL_OD true,EL_OD pred,EL_OD stdv,FP_OD true,FP_OD pred,FP_OD stdv,CH_OD true,CH_OD pred,CH_OD stdv,AC_OD true,AC_OD pred,AC_OD stdv,BH_OD true,BH_OD pred,BH_OD stdv,CG_OD true,CG_OD pred,CG_OD stdv,ER_OD true,ER_OD pred,ER_OD stdv,RI_OD true,RI_OD pred,RI_OD stdv,CC_OD true,CC_OD pred,CC_OD stdv,DL_OD true,DL_OD pred,DL_OD stdv,DF_OD true,DF_OD pred,DF_OD stdv,Butyrate true,Butyrate pred,Butyrate stdv,Acetate true,Acetate pred,Acetate stdv,Lactate true,Lactate pred,Lactate stdv,Succinate true,Succinate pred,Succinate stdv
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,0.0,0.0,0.0,0.21242234,0.0,0.0,0.007639351,0.0006,0.0006,0.021191832,0.0006,0.0006,0.08881963,0.0,0.0,0.10653289,0.0,0.0,0.18943632,0.0,0.0,0.11961018,0.0006,0.0006,0.05506769,0.0006,0.0006,0.045900535,0.0006,0.0006,0.0035831956,0.0006,0.0006,0.011641712,0.0,0.0,0.074758306,0.0,0.0,0.073084876,0.0006,0.0006,0.07528687,0.0006,0.0006,0.010921748,0.0,0.0,0.0020516722,0.0006,0.0006,0.09188305,0.0,0.0,0.26954478,0.0006,0.0006,0.0013300105,0.0,0.0,0.016102826,0.0006,0.0006,0.10281626,0.0,0.0,0.0016807519,0.0,0.0,0.0136854835,0.0,0.0,0.14291805,0.0,0.0,0.11365161,0.0,0.0,18.276306,0.0,0.0,22.2779,28.0,28.0,15.916155,0.0,0.0,9.238548
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,16.0,0.0,0.0,0.21242234,0.0,0.0,0.007639351,0.033567868,0.038969185,0.021298887,0.250080614,0.2958879,0.089258455,0.0,0.0,0.10653289,0.0,0.0,0.18943632,0.0,0.0,0.11961018,0.1599638,0.20676434,0.05539948,0.158027192,0.09124084,0.046004046,0.028145366,0.007977272,0.0036006207,0.056548946,0.018613487,0.011694421,0.0,0.0,0.074758306,0.0,0.0,0.073084876,0.186947201,0.0409522,0.07539033,0.005422502,0.0012369654,0.010922556,0.0,0.0,0.0020516722,0.094377351,0.12218423,0.092108056,0.0,0.0,0.26954478,0.001291072,0.00082479446,0.0013307071,0.0,0.0,0.016102826,0.540571777,0.24068333,0.103288114,0.0,0.0,0.0016807519,0.0,0.0,0.0136854835,0.0,0.0,0.14291805,0.0,0.0,0.11365161,6.36688416,5.958941,18.279373,42.629724079999995,14.540801,22.288544,36.61382892,33.01981,15.921832,18.47539383,9.242355,9.244581
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,32.0,0.0,0.0,0.21242234,0.0,0.0,0.007639351,0.016128372,0.040155336,0.021305257,0.207364787,0.33294502,0.08935398,0.0,0.0,0.10653289,0.0,0.0,0.18943632,0.0,0.0,0.11961018,0.216581,0.21536326,0.05541355,0.10937476,0.09387228,0.046008386,0.015586242,0.008245533,0.0036002249,0.05014704,0.019341787,0.011697114,0.0,0.0,0.074758306,0.0,0.0,0.073084876,0.108019435,0.05638493,0.07542245,0.003252781,0.0033318265,0.010926068,0.0,0.0,0.0020516722,0.318365938,0.18260138,0.09223356,0.0,0.0,0.26954478,0.002575118,0.0010583105,0.0013316806,0.0,0.0,0.016102826,0.362414014,0.2700208,0.10338554,0.0,0.0,0.0016807519,0.0,0.0,0.0136854835,0.0,0.0,0.14291805,0.0,0.0,0.11365161,6.16384488,12.439352,18.287241,40.4754818,31.655228,22.31601,35.41231574,38.236633,15.9393215,21.66082517,20.46475,9.256355
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER,48.0,0.0,0.0,0.21242234,0.0,0.0,0.007639351,0.012144654,0.041853447,0.0213235,0.234699098,0.39007294,0.08970813,0.0,0.0,0.10653289,0.0,0.0,0.18943632,0.0,0.0,0.11961018,0.170317799,0.22633094,0.055513542,0.061601197,0.097738154,0.04602502,0.009218231,0.008666749,0.0036092352,0.0283863,0.020469464,0.011709904,0.0,0.0,0.074758306,0.0,0.0,0.073084876,0.202069485,0.09519787,0.075707376,0.032629613,0.015089172,0.01106477,0.0,0.0,0.0020516722,0.334197469,0.3131458,0.093268216,0.0,0.0,0.26954478,0.002194817,0.0014867242,0.0013376933,0.0,0.0,0.016102826,0.199143063,0.31174394,0.10371906,0.0,0.0,0.0016807519,0.0,0.0,0.0136854835,0.0,0.0,0.14291805,0.0,0.0,0.11365161,6.33244568,17.924665,18.29955,39.02726388,50.2848,22.371962,35.3261547,42.91346,15.968197,24.279293749999997,32.9603,9.282982
PC-BF-BO-BC-BY-DP-BL-BA-BP-CA-EL-AC-BH-CG-RI-CC-DL,0.0,0.000388235,0.000388235,0.21242234,0.0,0.0,0.007639351,0.0,0.0,0.021191832,0.000388235,0.000388235,0.08881963,0.000388235,0.000388235,0.10653289,0.0,0.0,0.18943632,0.000388235,0.000388235,0.11961018,0.000388235,0.000388235,0.05506769,0.0,0.0,0.045900535,0.000388235,0.000388235,0.0035831956,0.000388235,0.000388235,0.011641712,0.000388235,0.000388235,0.074758306,0.000388235,0.000388235,0.073084876,0.000388235,0.000388235,0.07528687,0.000388235,0.000388235,0.010921748,0.0,0.0,0.0020516722,0.0,0.0,0.09188305,0.000388235,0.000388235,0.26954478,0.000388235,0.000388235,0.0013300105,0.000388235,0.000388235,0.016102826,0.0,0.0,0.10281626,0.000388235,0.000388235,0.0016807519,0.000388235,0.000388235,0.0136854835,0.000388235,0.000388235,0.14291805,0.0,0.0,0.11365161,0.0,0.0,18.276306,0.0,0.0,22.2779,28.0,28.0,15.916155,0.0,0.0,9.238548
PC-BF-BO-BC-BY-DP-BL-BA-BP-CA-EL-AC-BH-CG-RI-CC-DL,16.0,0.073798054,0.11036484,0.2125293,0.0,0.0,0.007639351,0.0,0.0,0.021191832,0.251892336,0.12761484,0.0889007,0.07555515,0.123920955,0.10661589,0.0,0.0,0.18943632,0.288540349,0.21771257,0.1197817,0.084340633,0.09053312,0.055125352,0.0,0.0,0.045900535,0.004016221,0.004333966,0.003587811,0.014182279,0.00956179,0.011653778,0.150984793,0.073887326,0.07483443,0.105802311,0.06666311,0.073165916,0.010793593,0.019923013,0.07530888,0.001757097,0.0007454845,0.010922024,0.0,0.0,0.0020516722,0.0,0.0,0.09188305,0.031376723,0.004110156,0.2695448,0.000376521,0.0005314908,0.0013302664,0.020959651,0.015646288,0.016113661,0.0,0.0,0.10281626,0.001757097,0.0013791665,0.0016827639,0.011672141,0.015684295,0.013702927,0.315398824,0.15078686,0.14307031,0.0,0.0,0.11365161,16.2465348,3.1811862,18.277084,45.67505252,19.850899,22.286308,40.57114494,36.642765,15.920366,11.56155313,6.523788,9.240768
PC-BF-BO-BC-BY-DP-BL-BA-BP-CA-EL-AC-BH-CG-RI-CC-DL,32.0,0.094901193,0.12628287,0.21256153,0.0,0.0,0.007639351,0.0,0.0,0.021191832,0.223847657,0.14774245,0.08891721,0.061565198,0.13728273,0.106627226,0.0,0.0,0.18943632,0.263708995,0.26570666,0.11983911,0.086815441,0.095598064,0.055128,0.0,0.0,0.045900535,0.002837106,0.0044796546,0.003587613,0.003546382,0.009968104,0.0116545055,0.095610469,0.076061726,0.07483977,0.173489027,0.06920754,0.073173136,0.013618108,0.026765853,0.0753152,0.001844119,0.0016212155,0.010922938,0.0,0.0,0.0020516722,0.0,0.0,0.09188305,0.139443756,0.076808214,0.26959354,0.000141855,0.00068288686,0.0013306738,0.019576031,0.022262547,0.016114283,0.0,0.0,0.10281626,0.001418553,0.0014778045,0.0016828877,0.008511318,0.016559057,0.013703736,0.318890705,0.17348722,0.14310746,0.0,0.0,0.11365161,15.5104028,8.514053,18.279598,47.11692704,40.888042,22.296717,44.17931657,35.783794,15.937031,11.92693022,13.845723,9.243909
PC-BF-BO-BC-BY-DP-BL-BA-BP-CA-EL-AC-BH-CG-RI-CC-DL,48.0,0.044137011,0.16107778,0.21269774,0.0,0.0,0.007639351,0.0,0.0,0.021191832,0.226801037,0.17131384,0.08897071,0.057592174,0.15651181,0.10668001,0.0,0.0,0.18943632,0.235873079,0.24290486,0.12003241,0.0721686,0.100507885,0.05514156,0.0,0.0,0.045900535,0.002140594,0.0047251694,0.0035895708,0.00234446,0.010500485,0.011656721,0.04311768,0.07871005,0.07484834,0.074818859,0.07252512,0.07318732,0.002446393,0.046295777,0.07537664,0.001223197,0.0062030796,0.010938239,0.0,0.0,0.0020516722,0.0,0.0,0.09188305,0.437802452,0.6080835,0.2709953,0.000509665,0.0008736066,0.0013321069,0.024463932,0.029615428,0.016128615,0.0,0.0,0.10281626,0.001121264,0.0016069802,0.001683542,0.013149364,0.01839587,0.013711541,0.200808109,0.21658821,0.14324678,0.0,0.0,0.11365161,20.68401208,33.538116,18.33091,43.32903468,45.34812,22.333033,39.29952018,16.26569,15.948309,13.592323949999999,20.741852,9.25262
PC-BF-BT-BC-BU-DP-BL-CH-BH-RI-CC,0.0,0.0006,0.0006,0.21242234,0.0,0.0,0.007639351,0.0,0.0,0.021191832,0.0006,0.0006,0.08881963,0.0,0.0,0.10653289,0.0006,0.0006,0.18943632,0.0006,0.0006,0.11961018,0.0,0.0,0.05506769,0.0006,0.0006,0.045900535,0.0006,0.0006,0.0035831956,0.0006,0.0006,0.011641712,0.0,0.0,0.074758306,0.0,0.0,0.073084876,0.0,0.0,0.07528687,0.0,0.0,0.010921748,0.0,0.0,0.0020516722,0.0006,0.0006,0.09188305,0.0,0.0,0.26954478,0.0006,0.0006,0.0013300105,0.0,0.0,0.016102826,0.0,0.0,0.10281626,0.0006,0.0006,0.0016807519,0.0006,0.0006,0.0136854835,0.0,0.0,0.14291805,0.0,0.0,0.11365161,0.0,0.0,18.276306,0.0,0.0,22.2779,28.0,28.0,15.916155,0.0,0.0,9.238548
PC-BF-BT-BC-BU-DP-BL-CH-BH-RI-CC,16.0,0.223630713,0.19780229,0.21274261,0.0,0.0,0.007639351,0.0,0.0,0.021191832,0.227436341,0.22820118,0.0891188,0.0,0.0,0.10653289,0.224131454,0.003325147,0.18943638,0.380462642,0.39726764,0.12004724,0.0,0.0,0.05506769,0.077514632,0.07345327,0.045967888,0.007310812,0.0071283206,0.0035962225,0.059588121,0.01605409,0.011677827,0.0,0.0,0.074758306,0.0,0.0,0.073084876,0.0,0.0,0.07528687,0.0,0.0,0.010921748,0.0,0.0,0.0020516722,0.073007967,0.098899595,0.092028014,0.0,0.0,0.26954478,0.001001481,0.00082746084,0.0013306573,0.0,0.0,0.016102826,0.0,0.0,0.10281626,0.002303406,0.0022036266,0.0016861516,0.029343394,0.026688335,0.013740101,0.0,0.0,0.14291805,0.0,0.0,0.11365161,1.39307296,3.6892009,18.277702,48.2750664,18.185085,22.287865,44.61215856,36.69102,15.923845,21.51525039,9.139665,9.243184
