Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5,DTL 6,DTL 7,DTL 8,DTL 9,DTL 10,DTL 11,DTL 12,DTL 13,DTL 14,DTL 15,DTL 16,DTL 17,DTL 18,DTL 19,DTL 20,DTL 21,DTL 22,DTL 23,DTL 24,DTL 25
0,4.57276476498078,6.503425758091477,7.801886282348063,7.26594592438059,8.075411415917305,7.406540217316445,6.527151031772809,6.875740254162265,5.869257158117103,5.48156409245024,6.061853187802679,6.504508580191847,6.761273680654007,6.468692680310948,6.698324497078418,6.524609211227476,6.725228877424119,6.406390325697897,6.912839661172051,6.117721393368557,6.423733314661761,6.676190802147582,6.8187495449726345,6.914738285436931,6.921123804188365,5.935267906266942
1,4.40505290195506,4.240166441885975,4.029016223528731,4.056329553203797,4.512976152802414,5.828227414274046,6.6119791829853884,7.905516864805122,8.488272686248134,9.200600137818709,9.126145063210904,9.797013876935436,9.50966352448379,9.514703832736586,9.074564708373021,7.669979394104317,7.13479325885282,7.251965634290791,7.41024072986926,6.961096123664305,7.005050662744044,6.739612557691423,6.317193743635219,6.188327706618017,6.272906089821123,6.283612793202913
2,5.665923591477158,4.625879021716688,4.172282136397737,3.6789868702925403,3.4652747148715584,3.4465833616821704,3.7268435985536295,4.450814664789714,5.084544051455814,5.639304990554809,5.947406357238529,6.40563744182749,6.690533117921201,6.853954056003083,7.053691981202086,6.4621148993695865,6.866213805082136,7.134928257499831,7.400687774762444,7.506572564435625,7.748710556506921,7.691902720255738,7.488116830077738,7.450373786449365,6.817078442656646,6.907385316452917
3,4.684506128580113,6.157354218326603,7.396867262466313,8.40936483409756,6.935022258627703,6.787230075581684,5.753509915738795,6.372037273883169,7.315523235279157,8.229258667256133,7.461210927833576,7.663168982471953,7.024586526791934,7.245020444422008,7.66000440150708,7.894732902973356,8.060176263090952,8.09733266994887,8.316617350602495,8.350713067049227,8.334845379068522,8.219978885926679,6.7448822275199225,6.747136747900834,6.6938658265988416,6.786284994353474
4,4.709569041264134,3.961931616989278,3.9709060528736324,4.02026156958536,3.9001528313371425,3.6435702508212855,3.225539755329484,3.1925545015934063,3.3351683138692234,3.527539061526188,3.6651617059329475,3.7300841843595,3.900523892101636,4.0300668611341255,4.292167153089063,3.996664567553375,4.085115839024969,4.161684558187532,4.12778420634968,4.037978212656239,4.153013901469069,4.235976197154916,4.278574439181363,4.325339711916397,4.421317950715029,4.5054760549011394
5,4.549946063920349,5.171191227150043,5.067899678201336,5.5973814803740645,5.997181163763852,6.596563158648829,7.20745926299714,7.535723235010462,8.107060075084789,8.174002705707366,8.279125511835375,7.357402440798893,6.972911307857577,7.00463653581155,6.6667372088282715,7.1074033820262965,6.3680058443647996,6.603798902331844,6.854193831301262,7.229531843314298,7.32230836608576,5.156388367897682,5.325972526959432,5.4204869194106,5.56452677588322,5.648312812057993
6,4.88185775416458,4.399816095866109,4.093074836320918,4.254113734934871,4.157919951146962,4.103498846893272,4.955094069347118,5.78627499353754,4.768593043019372,4.5334874138615255,4.542395267379894,4.76997043646832,4.379982365091166,4.477143155692611,4.663007202239395,4.832554828787317,5.014003595431068,5.149104442725765,5.248049683324343,5.216032661502306,5.3447515849397815,5.419405575896678,5.448191460539622,5.100761145466799,5.182332608024668,5.235923466336537
7,5.918807396916785,5.575861433557843,5.521244517430991,5.46553202374315,4.502959681529973,4.4312874576838155,3.931345557664976,3.817425178584789,3.815480872699757,3.7726446992775218,3.62956689001133,2.9156344485395373,2.7521225137119565,2.5100897657984746,2.6117597365070138,2.710141870884099,2.691426326662708,2.894728726976888,3.052319625401879,3.2206544022114896,3.3788457947867565,3.452883865422943,3.5385752078322845,3.6584790131497877,3.758230382494836,3.600802589213635
8,4.993150075714336,4.5171236797999486,4.1922807123250685,3.9418277527491257,3.4136854970792907,3.837498546007163,4.643994904935187,5.183599476887598,5.4177911593669545,5.817251789837131,6.018142875418304,5.241812849018601,5.042890762044623,4.947170838773308,5.295198149903721,5.180937958361206,5.647279644509313,5.743502685705986,5.9521453396893165,6.042603945411969,6.173464961749395,6.200389882206649,5.722781489585915,5.623357288446945,5.643636375249626,5.677087880415492
9,4.144566673783807,3.719155856891088,3.7053893097452755,3.7789721640126914,3.9620113188508617,4.882364238788966,6.4570039786830975,7.336343168288123,7.869642880338802,6.928903006947831,5.476612269947829,5.256355907454671,5.1275690438545265,5.250119797544591,5.442752743137375,5.840452736715437,6.052388301613002,6.158533420869552,6.377688263052758,6.404372051711023,6.524704669751973,5.730822559664547,5.695513003237376,5.6889817342175615,5.675928583209822,5.162935192134601
10,5.0839549261263866,6.872922283764938,8.193886396690663,9.452489710166667,9.300011160387452,9.849711193935898,11.393488028980713,11.244671870716457,9.417793711104157,7.77403619130435,6.347056333075435,6.180158345010655,6.050756992729227,5.857064173190389,6.055258761783975,6.337151100705979,6.5876011559290815,6.763066708002326,6.981966148885747,6.550548300932264,6.643545408375919,6.6771456126381725,6.710247567385775,6.338829443854494,6.400894086405987,6.388522076098318
11,4.567772387104141,5.52947837898593,5.49401956976895,6.284055228795571,6.3054185112664145,6.360515873410858,7.610339661957705,7.698356606542017,8.156794127654365,8.276520389894161,7.726836169980663,7.79019782965468,6.432292606826801,5.5191800249676914,5.770601488553802,5.961765333716985,6.1931205902519135,6.210857907747831,5.983059108817939,6.1100935865132495,6.114443746646254,5.891543825556924,6.0082118231576676,6.052207060093709,6.068117620195585,6.111747899826289
12,6.965784138375573,11.14835829161857,16.00409374893519,14.66343565430017,17.20043152491165,11.04525934220133,10.59636796430274,10.625780692149178,11.208149987855165,10.979201056711059,10.54711896580219,9.50283229317096,9.081590436130561,9.333348716058275,7.4207976746032,7.141982704909747,7.329325324354303,7.31422447896378,7.0672960012131645,7.229705027919916,7.321852725502927,7.254666350364361,7.297440539065182,7.334639506523432,7.280938832975072,7.299292676082869
13,4.414114306631782,4.489148975893271,4.5604227442553835,4.942461467818582,5.116534024259716,5.388167204859967,6.010066827396573,5.704334662064767,6.7495354110321415,5.828175413157361,5.778504014172554,6.443824549384886,6.508270824902555,6.934424956860624,7.328191890902939,7.1569187875777445,6.486784794565465,5.851304324022046,6.057478674934858,6.25085499052674,6.38151978253836,6.3537411580308,6.366188449174668,4.848065916979022,4.936187090152096,4.969362165918602
14,4.309395578369221,4.59942547161932,5.3168410697177615,5.310401795575773,6.315120125430838,6.3978238106460505,6.844011294391995,6.925156459466815,6.637958623550325,6.898244750241772,6.887704814156251,5.557058600637129,5.2604435063948705,4.902756044200237,4.367335478933606,4.023404375373467,4.103782251202351,4.003961146050761,4.112316080760958,4.1050600398069435,4.083358914673177,4.158962228665537,4.154246266375453,4.206604009208087,4.304576244607981,4.333525388541533
15,4.488989336318366,4.499380679133179,5.2863231051581625,5.337018870581958,5.634040439772178,5.163651958833815,5.758876398009358,6.206942388439022,6.232666085333227,6.293720730524207,5.484500536685312,5.094547126546901,5.401798997087804,5.845677260544535,6.157533139309087,6.413636908518068,5.326837218529062,5.4549503541559385,5.412138732374229,5.444585817487393,5.446194587408033,5.5790444999792435,5.707544755295965,5.771014695835063,5.770369341916308,5.76388022719586
16,5.663236282108558,5.35446262920094,5.2564669173995,4.360701980892381,4.0898572305663,4.065652651939102,4.036089602766971,4.067003417068575,4.086141808857075,4.036628696535011,4.015034208138079,3.1774801411578295,2.6928456566909738,2.6156892743014692,2.503369819706815,2.7498318137646915,3.0521231950456023,3.217088062201569,3.3878310173963264,3.591187882107754,3.741345565296671,3.96342893897408,4.136941146402695,4.274480004696841,3.5052473120810177,3.508312752799574
17,4.389176575217015,4.350812748562117,4.292140190316859,5.108282950890347,4.431956545033845,4.124429848326333,4.543234240654375,4.7438554632355086,4.1030829825075354,4.300624996230416,4.132393994662911,4.207499606167856,4.398457286267299,4.70331424005699,4.871429436100924,4.803274800719064,4.836480452856092,4.940743936136579,5.049065199518648,5.211212273485922,5.292944925983763,5.269285315356109,5.382527405148145,5.494147046196744,5.612483263975159,5.687464056190483
18,7.213232658084777,5.7574415796865575,4.988400251734083,4.228116307021842,3.5347991458774324,3.1239121390814235,3.427647916946002,3.8575017186780536,4.231242461507458,4.427322012046099,5.140806825896201,5.710204838713842,6.338119564574775,6.858523940253491,7.319347338991906,7.217034196004054,7.499493908803411,7.031099744856459,7.4759936909233815,7.602635609719769,7.3006457961173865,7.217627169199789,6.533495817097764,6.186555890376155,6.352438102037558,6.391285193925574
19,4.844654409192821,4.181746691161319,3.964580104690416,3.804986887936886,3.8033980813835604,3.8045885002790225,3.74012881873856,3.7013633359653255,3.8487476577970194,4.0312312285894185,4.211168203273028,4.094521266917653,4.464865937820253,3.893273286884604,4.214690564217697,3.9776669234755664,4.133016653822406,4.3044483326274605,4.331564714890341,4.49729670923422,4.678866951247251,4.9274965135274,4.9064269131508205,4.976075373963464,5.003761939365768,5.035120523483155
