Trial,DTL 0,DTL 1,DTL 2,DTL 3,DTL 4,DTL 5
0,0.18095738,0.18095738,0.18095738,0.18095738,0.18095738,0.18095738
1,0.11097309,0.21805231,0.21805231,0.21805231,0.21805231,0.21805231
2,0.053073063,0.1769722,0.1769722,0.1769722,0.18633103,0.18633103
3,0.14763677,0.14763677,0.23082261,0.23082261,0.23082261,0.23082261
4,0.067646466,0.16679277,0.16679277,0.16679277,0.16679277,0.16679277
5,0.10436374,0.10436374,0.10436374,0.10436374,0.11699142,0.15757722
6,0.060921993,0.068251185,0.068251185,0.09193457,0.09193457,0.09193457
7,0.035341848,0.07785448,0.07785448,0.13387844,0.13387844,0.13387844
8,0.073504195,0.073504195,0.087639906,0.11460295,0.11460295,0.11460295
9,0.07677005,0.12898462,0.12898462,0.15757722,0.15757722,0.15757722
10,0.1260811,0.1260811,0.1260811,0.16228527,0.16228527,0.16228527
11,0.09599862,0.1818797,0.1818797,0.1818797,0.1818797,0.1818797
12,0.19342472,0.19342472,0.19342472,0.19342472,0.19342472,0.19342472
13,0.055213813,0.11926836,0.11926836,0.13916999,0.13916999,0.13916999
14,0.09398217,0.16651896,0.16651896,0.16651896,0.16651896,0.16651896
15,0.09437443,0.09657203,0.09657203,0.09657203,0.09657203,0.16476211
16,0.030397575,0.13595758,0.13595758,0.1769722,0.1769722,0.1769722
17,0.08534878,0.09266234,0.09266234,0.16679277,0.16679277,0.16679277
18,0.010389327,0.13032375,0.13032375,0.13032375,0.15573676,0.15573676
19,0.07588746,0.07588746,0.07588746,0.20426257,0.20426257,0.20426257
20,0.0680887,0.0680887,0.08131068,0.08131068,0.11768497,0.15990157
21,0.06288598,0.06288598,0.17739569,0.1818797,0.1818797,0.1818797
22,0.058941644,0.058941644,0.082171075,0.109323926,0.109323926,0.109323926
23,0.15005654,0.19945486,0.19945486,0.19945486,0.19945486,0.19945486
24,0.029490568,0.1926011,0.1926011,0.1926011,0.1926011,0.1926011
25,0.11263864,0.16695361,0.16695361,0.16695361,0.16695361,0.16695361
26,0.058222644,0.09229981,0.14249079,0.14249079,0.14249079,0.1818797
27,0.17815378,0.17815378,0.17815378,0.17815378,0.17815378,0.17815378
28,0.059013266,0.059013266,0.1769722,0.1769722,0.1769722,0.1769722
29,0.13108122,0.13108122,0.13108122,0.1551084,0.1551084,0.1551084
